"Microsoft Status","CA Owner","CA Common Name or Certificate Name","Subject","SHA-1 Fingerprint","SHA-256 Fingerprint","Microsoft EKUs","Valid From [GMT]","Valid To [GMT]","Public Key Algorithm","Signature Hash Algorithm"
"Disabled","DigiCert","GeoTrust Global CA 2","CN=GeoTrust Global CA 2; O=GeoTrust Inc.; C=US","A9E9780814375888F20519B06D2B0D2B6016907D","CA2D82A08677072F8AB6764FF035676CFE3E5E325E012172DF3F92096DB79B85","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2004 Mar 04","2019 Mar 04","RSA 2048 bits","SHA1WithRSA"
"Disabled","DigiCert","GeoTrust Primary Certification Authority - G2","CN=GeoTrust Primary Certification Authority - G2; OU=(c) 2007 GeoTrust Inc. - For authorized use only; O=GeoTrust Inc.; C=US","8D1784D537F3037DEC70FE578B519A99E610D7B0","5EDB7AC43B82A06A8761E8D7BE4979EBF2611F7DD79BF91C1C6B566A219ED766","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2007 Nov 05","2038 Jan 18","EC secp384r1","ecdsaWithSHA384"
"Disabled","DigiCert","GeoTrust Primary Certification Authority - G3","CN=GeoTrust Primary Certification Authority - G3; OU=(c) 2008 GeoTrust Inc. - For authorized use only; O=GeoTrust Inc.; C=US","039EEDB80BE7A03C6953893B20D2D9323A4C2AFD","B478B812250DF878635C2AA7EC7D155EAA625EE82916E2CD294361886CD1FBD4","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2008 Apr 02","2037 Dec 01","RSA 2048 bits","SHA256WithRSA"
"NotBefore","DigiCert","GeoTrust Universal CA","CN=GeoTrust Universal CA; O=GeoTrust Inc.; C=US","E621F3354379059A4B68309D8A2F74221587EC79","A0459B9F63B22559F5FA5D4C6DB3F9F72FF19342033578F073BF1D1B46CBB912","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2004 Mar 04","2029 Mar 04","RSA 4096 bits","SHA1WithRSA"
"Disabled","DigiCert","GeoTrust Universal CA 2","CN=GeoTrust Universal CA 2; O=GeoTrust Inc.; C=US","379A197B418545350CA60369F33C2EAF474F2079","A0234F3BC8527CA5628EEC81AD5D69895DA5680DC91D1CB8477F33F878B95B0B","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2004 Mar 04","2029 Mar 04","RSA 4096 bits","SHA1WithRSA"
"Included","DigiCert","Hotspot 2.0 Trust Root CA - 03","CN=Hotspot 2.0 Trust Root CA - 03; O=WFA Hotspot 2.0; C=US","51501FBFCE69189D609CFAF140C576755DCC1FDF","A3CC68595DFE7E86D8AD1772A8B5284ADD54ACE3B8A798DF47BCCAFB1FDB84DF","Server Authentication;Client Authentication;Secure Email","2013 Dec 08","2043 Dec 08","RSA 4096 bits","SHA256WithRSA"
"Disabled","DigiCert","Symantec Class 1 Public Primary Certification Authority - G4","CN=Symantec Class 1 Public Primary Certification Authority - G4; OU=Symantec Trust Network; O=Symantec Corporation; C=US","84F2E3DD83133EA91D19527F02D729BFC15FE667","363F3C849EAB03B0A2A0F636D7B86D04D3AC7FCFE26A0A9121AB9795F6E176DF","Client Authentication;Secure Email","2011 Oct 05","2038 Jan 18","EC secp384r1","ecdsaWithSHA384"
"Included","DigiCert","Symantec Class 1 Public Primary Certification Authority - G6","CN=Symantec Class 1 Public Primary Certification Authority - G6; OU=Symantec Trust Network; O=Symantec Corporation; C=US","517F611E29916B5382FB72E744D98DC3CC536D64","9D190B2E314566685BE8A889E27AA8C7D7AE1D8AADDBA3C1ECF9D24863CD34B9","Client Authentication;Secure Email","2011 Oct 18","2037 Dec 01","RSA 2048 bits","SHA256WithRSA"
"Disabled","DigiCert","Symantec Class 2 Public Primary Certification Authority - G4","CN=Symantec Class 2 Public Primary Certification Authority - G4; OU=Symantec Trust Network; O=Symantec Corporation; C=US","6724902E4801B02296401046B4B1672CA975FD2B","FE863D0822FE7A2353FA484D5924E875656D3DC9FB58771F6F616F9D571BC592","Client Authentication;Secure Email","2011 Oct 05","2038 Jan 18","EC secp384r1","ecdsaWithSHA384"
"Included","DigiCert","Symantec Class 2 Public Primary Certification Authority - G6","CN=Symantec Class 2 Public Primary Certification Authority - G6; OU=Symantec Trust Network; O=Symantec Corporation; C=US","40B331A0E9BFE855BC3993CA704F4EC251D41D8F","CB627D18B58AD56DDE331A30456BC65C601A4E9B18DEDCEA08E7DAAA07815FF0","Client Authentication;Secure Email","2011 Oct 18","2037 Dec 01","RSA 2048 bits","SHA256WithRSA"
"Disabled","DigiCert","Symantec Class 3 Public Primary Certification Authority - G4","CN=Symantec Class 3 Public Primary Certification Authority - G4; OU=Symantec Trust Network; O=Symantec Corporation; C=US","58D52DB93301A4FD291A8C9645A08FEE7F529282","53DFDFA4E297FCFE07594E8C62D5B8AB06B32C7549F38A163094FD6429D5DA43","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2012 Oct 18","2037 Dec 01","EC secp384r1","ecdsaWithSHA384"
"Disabled","DigiCert","Symantec Class 3 Public Primary Certification Authority - G6","CN=Symantec Class 3 Public Primary Certification Authority - G6; OU=Symantec Trust Network; O=Symantec Corporation; C=US","26A16C235A2472229B23628025BC8097C88524A1","B32396746453442F353E616292BB20BBAA5D23B546450FDB9C54B8386167D529","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2012 Oct 18","2037 Dec 01","RSA 4096 bits","SHA384WithRSA"
"Disabled","DigiCert","Symantec Enterprise Mobile Root for Microsoft","CN=Symantec Enterprise Mobile Root for Microsoft; O=Symantec Corporation; C=US","92B46C76E13054E104F230517E6E504D43AB10B5","8A5E4881D42F7475E8EC3726FCD5E51884AA04DAA9FA7ADAC8CD26452CF885D4","Code Signing","2012 Mar 15","2032 Mar 14","RSA 2048 bits","SHA256WithRSA"
"Disabled","DigiCert","Thawte Server CA","CN=Thawte Server CA; OU=Certification Services Division; O=Thawte Consulting cc; L=Cape Town; ST=Western Cape; C=ZA; EmailAddress=server-certs@thawte.com","23E594945195F2414803B4D564D2A3A3F5D88B8C","B4410B73E2E6EACA47FBC42F8FA4018AF4381DC54CFAA84450461EED09454DE9","Server Authentication;Code Signing","1996 Aug 01","2020 Dec 31","RSA 1024 bits","MD5WithRSA"
"Disabled","DigiCert","Thawte Timestamping CA","CN=Thawte Timestamping CA; OU=Thawte Certification; O=Thawte; L=Durbanville; ST=Western Cape; C=ZA","BE36A4562FB2EE05DBB3D32323ADF445084ED656","6B6C1E01F590F5AFC5FCF85CD0B9396884048659FC2C6D1170D68B045216C3FD","Time Stamping","1997 Jan 01","2020 Dec 31","RSA 1024 bits","MD5WithRSA"
"Disabled","DigiCert","Thawte Premium Server CA","CN=Thawte Premium Server CA; OU=Certification Services Division; O=Thawte Consulting cc; L=Cape Town; ST=Western Cape; C=ZA; EmailAddress=premium-server@thawte.com","627F8D7827656399D27D7F9044C9FEB3F33EFA9A","AB7036365C7154AA29C2C29F5D4191163B162A2225011357D56D07FFA7BC1F72","Server Authentication;Code Signing","1996 Aug 01","2020 Dec 31","RSA 1024 bits","MD5WithRSA"
"NotBefore","DigiCert","thawte Primary Root CA","CN=thawte Primary Root CA; OU=Certification Services Division, (c) 2006 thawte, Inc. - For authorized use only; O=thawte, Inc.; C=US","91C6D6EE3E8AC86384E548C299295C756C817B81","8D722F81A9C113C0791DF136A2966DB26C950A971DB46B4199F4EA54B78BFB9F","Server Authentication;Client Authentication;Code Signing;Secure Email","2006 Nov 17","2036 Jul 16","RSA 2048 bits","SHA1WithRSA"
"Disabled","DigiCert","thawte Primary Root CA - G2","CN=thawte Primary Root CA - G2; OU=(c) 2007 thawte, Inc. - For authorized use only; O=thawte, Inc.; C=US","AADBBC22238FC401A127BB38DDF41DDB089EF012","A4310D50AF18A6447190372A86AFAF8B951FFB431D837F1E5688B45971ED1557","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2007 Nov 05","2038 Jan 18","EC secp384r1","ecdsaWithSHA384"
"Disabled","DigiCert","thawte Primary Root CA - G3","CN=thawte Primary Root CA - G3; OU=Certification Services Division, (c) 2008 thawte, Inc. - For authorized use only; O=thawte, Inc.; C=US","F18B538D1BE903B6A6F056435B171589CAF36BF2","4B03F45807AD70F21BFC2CAE71C9FDE4604C064CF5FFB686BAE5DBAAD7FDD34C","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2008 Apr 02","2037 Dec 01","RSA 2048 bits","SHA256WithRSA"
"Included","DigiCert","VeriSign Class 2 Public Primary Certification Authority - G3","CN=VeriSign Class 2 Public Primary Certification Authority - G3; OU=VeriSign Trust Network, (c) 1999 VeriSign, Inc. - For authorized use only; O=VeriSign, Inc.; C=US","61EF43D77FCAD46151BC98E0C35912AF9FEB6311","92A9D9833FE1944DB366E8BFAE7A95B6480C2D6C6C2A1BE65D4236B608FCA1BB","Client Authentication;Code Signing;Secure Email","1999 Oct 01","2036 Jul 16","RSA 2048 bits","SHA1WithRSA"
"NotBefore","DigiCert","VeriSign Class 3 Public Primary Certification Authority - G5","CN=VeriSign Class 3 Public Primary Certification Authority - G5; OU=VeriSign Trust Network, (c) 2006 VeriSign, Inc. - For authorized use only; O=VeriSign, Inc.; C=US","4EB6D578499B1CCF5F581EAD56BE3D9B6744A5E5","9ACFAB7E43C8D880D06B262A94DEEEE4B4659989C3D0CAF19BAF6405E41AB7DF","Server Authentication;Client Authentication;Code Signing;Secure Email","2006 Nov 08","2036 Jul 16","RSA 2048 bits","SHA1WithRSA"
"Included","DigiCert","VeriSign Class 1 Public Primary Certification Authority - G3","CN=VeriSign Class 1 Public Primary Certification Authority - G3; OU=VeriSign Trust Network, (c) 1999 VeriSign, Inc. - For authorized use only; O=VeriSign, Inc.; C=US","204285DCF7EB764195578E136BD4B7D1E98E46A5","CBB5AF185E942A2402F9EACBC0ED5BB876EEA3C1223623D00447E4F3BA554B65","Client Authentication;Secure Email","1999 Oct 01","2036 Jul 16","RSA 2048 bits","SHA1WithRSA"
"Disabled","DigiCert","VeriSign Class 3 Public PCA – G2","OU=Class 3 Public Primary Certification Authority - G2, (c) 1998 VeriSign, Inc. - For authorized use only, VeriSign Trust Network; O=VeriSign, Inc.; C=US","85371CA6E550143DCE2803471BDE3A09E8F8770F","83CE3C1229688A593D485F81973C0F9195431EDA37CC5E36430E79C7A888638B","Server Authentication;Client Authentication;Code Signing;Secure Email","1998 May 18","2028 Aug 01","RSA 1024 bits","SHA1WithRSA"
"Disabled","DigiCert","VeriSign Class 3 Public Primary Certification Authority - G3","CN=VeriSign Class 3 Public Primary Certification Authority - G3; OU=VeriSign Trust Network, (c) 1999 VeriSign, Inc. - For authorized use only; O=VeriSign, Inc.; C=US","132D0D45534B6997CDB2D5C339E25576609B5CC6","EB04CF5EB1F39AFA762F2BB120F296CBA520C1B97DB1589565B81CB9A17B7244","Server Authentication;Client Authentication;Code Signing;Secure Email","1999 Oct 01","2036 Jul 16","RSA 2048 bits","SHA1WithRSA"
"Disabled","DigiCert","VeriSign4","OU=VeriSign Commercial Software Publishers CA; O=VeriSign, Inc.","24A40A1F573643A67F0A4B0749F6A22BF28ABB6B","AC1FAE74B4E97106092131F2E7F746B6734386742BDFD8423731AED14A4CE446","Code Signing;Secure Email","1996 Apr 09","2004 Jan 07","RSA 1024 bits","MD2WithRSA"
"Disabled","DigiCert","VeriSign Class 3 Public PCA - MD2","OU=Class 3 Public Primary Certification Authority; O=VeriSign, Inc.; C=US","742C3192E607E424EB4549542BE1BBC53E6174E2","E7685634EFACF69ACE939A6B255B7B4FABEF42935B50A265ACB5CB6027E44E70","Server Authentication;Client Authentication;Code Signing;Secure Email","1996 Jan 29","2028 Aug 01","RSA 1024 bits","MD2WithRSA"
"Disabled","DigiCert","VeriSign Class 3 Public Primary Certification Authority - G4","CN=VeriSign Class 3 Public Primary Certification Authority - G4; OU=VeriSign Trust Network, (c) 2007 VeriSign, Inc. - For authorized use only; O=VeriSign, Inc.; C=US","22D5D8DF8F0231D18DF79DB7CF8A2D64C93F6C3A","69DDD7EA90BB57C93E135DC85EA6FCD5480B603239BDC454FC758B2A26CF7F79","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2007 Nov 05","2038 Jan 18","EC secp384r1","ecdsaWithSHA384"
"Disabled","DigiCert","VeriSign Time Stamping CA","OU=VeriSign, Inc., VeriSign Time Stamping Service Root, NO LIABILITY ACCEPTED, (c)97 VeriSign, Inc.; O=VeriSign Trust Network","18F7C1FCC3090203FD5BAA2F861A754976C8DD25","5B789987F3C4055B8700941B33783A5F16E0CFF937EA32011FE04779F7635308","Time Stamping","1997 May 12","2004 Jan 07","RSA 1024 bits","MD5WithRSA"
"Included","DigiCert","VeriSign Universal Root Certification Authority","CN=VeriSign Universal Root Certification Authority; OU=VeriSign Trust Network, (c) 2008 VeriSign, Inc. - For authorized use only; O=VeriSign, Inc.; C=US","3679CA35668772304D30A5FB873B0FA77BB70D54","2399561127A57125DE8CEFEA610DDF2FA078B5C8067F4E828290BFB860E84B3C","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2008 Apr 02","2037 Dec 01","RSA 2048 bits","SHA256WithRSA"
"Disabled","Digidentity B.V.","Digidentity L3 Root CA - G2","CN=Digidentity L3 Root CA - G2; O=Digidentity B.V.; C=NL","F138A330A4EA986BEB520BB11035876EFB9D7F1C","417DCF3180F4ED1A3747ACF1179316CD48CB05C5788435168AED98C98CDCB615","Server Authentication;Client Authentication;Code Signing;OCSP Signing;Secure Email;Time Stamping","2011 Apr 29","2031 Nov 10","RSA 4096 bits","SHA256WithRSA"
"NotBefore","Digidentity B.V.","Digidentity Services Root CA","CN=Digidentity Services Root CA; O=Digidentity B.V.; C=NL","7B3FB277EE311C1ED560CAB96E4FED775E6A3EED","E28097721A8CAB8880AF80FDEF8902B1F15BC7473AD68EC22991257A910D9EA2","Server Authentication;Client Authentication;Secure Email","2018 Jul 10","2043 Jul 04","RSA 4096 bits","SHA256WithRSA"
"Disabled","Disig, a.s.","CA Disig","CN=CA Disig; O=Disig a.s.; L=Bratislava; C=SK","2AC8D58B57CEBF2F49AFF2FC768F511462907A41","92BF5119ABECCAD0B1332DC4E1D05FBA75B5679044EE0CA26E931F744F2F33CF","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2006 Mar 22","2016 Mar 22","RSA 2048 bits","SHA1WithRSA"
"Disabled","Disig, a.s.","CA Disig Root R1","CN=CA Disig Root R1; O=Disig a.s.; L=Bratislava; C=SK","8E1C74F8A620B9E58AF461FAEC2B4756511A52C6","F96F23F4C3E79C077A46988D5AF5900676A0F039CB645DD17549B216C82440CE","Server Authentication;Client Authentication;Code Signing;Encrypting File System;Secure Email;Time Stamping","2012 Jul 19","2042 Jul 19","RSA 4096 bits","SHA1WithRSA"
"Included","Disig, a.s.","CA Disig Root R2","CN=CA Disig Root R2; O=Disig a.s.; L=Bratislava; C=SK","B561EBEAA4DEE4254B691A98A55747C234C7D971","E23D4A036D7B70E9F595B1422079D2B91EDFBB1FB651A0633EAA8A9DC5F80703","Server Authentication;Client Authentication;Code Signing;Encrypting File System;Secure Email;Time Stamping","2012 Jul 19","2042 Jul 19","RSA 4096 bits","SHA256WithRSA"
"Disabled","Docaposte Certinomis SAS","Certinomis - Autorité Racine","CN=Certinomis - Autorité Racine; OU=0002 433998903; O=Certinomis; C=FR","2E14DAEC28F0FA1E8E389A4EABEB26C00AD383C3","FCBFE2886206F72B27593C8B070297E12D769ED10ED7930705A8098EFFC14D17","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2008 Sep 17","2028 Sep 17","RSA 4096 bits","SHA1WithRSA"
"Included","Docaposte Certinomis SAS","Certinomis - Root CA","CN=Certinomis - Root CA; OU=0002 433998903; O=Certinomis; C=FR","9D70BB01A5A4A018112EF71C01B932C534E788A8","2A99F5BC1174B73CBB1D620884E01C34E51CCB3978DA125F0E33268883BF4158","Server Authentication;Client Authentication;Secure Email;Time Stamping","2013 Oct 21","2033 Oct 21","RSA 4096 bits","SHA256WithRSA"
"Disabled","DocuSign (OpenTrust/Keynectis)","Class 2 Primary CA","CN=Class 2 Primary CA; O=Certplus; C=FR","74207441729CDD92EC7931D823108DC28192E2BB","0F993C8AEF97BAAF5687140ED59AD1821BB4AFACF0AA9A58B5D57A338A3AFBCB","Server Authentication;Client Authentication;Secure Email;Time Stamping","1999 Jul 07","2019 Jul 06","RSA 2048 bits","SHA1WithRSA"
"Disabled","DocuSign (OpenTrust/Keynectis)","Class 3 Primary CA","CN=Class 3 Primary CA; O=Certplus; C=FR","D2EDF88B41B6FE01461D6E2834EC7C8F6C77721E","C1B12F480020336E5B04F520BC19C2E2E10AB42C9D9235F05CBEC33FFA4D4DEA","Server Authentication;Secure Email;Time Stamping","1999 Jul 07","2019 Jul 06","RSA 2048 bits","SHA1WithRSA"
"Disabled","DocuSign (OpenTrust/Keynectis)","Class 3P Primary CA","CN=Class 3P Primary CA; O=Certplus; C=FR","216B2A29E62A00CE820146D8244141B92511B279","CCC89489371BAD111C90619BEA240A2E6DADD99F9F6E1D4D41E58ED6DE3D0285","Server Authentication;Secure Email;Time Stamping","1999 Jul 07","2019 Jul 06","RSA 2048 bits","SHA1WithRSA"
"Disabled","DocuSign (OpenTrust/Keynectis)","Class 3TS Primary CA","CN=Class 3TS Primary CA; O=Certplus; C=FR","F44095C238AC73FC4F77BF8F98DF70F8F091BC52","CE7DD096C8FDE2BF5C438EDB574BD6454385334EE8FF106C0F93D5051BE6BAC3","Server Authentication;Secure Email;Time Stamping","1999 Jul 07","2019 Jul 06","RSA 2048 bits","SHA1WithRSA"
"Disabled","DocuSign (OpenTrust/Keynectis)","Certplus Root CA G1","CN=Certplus Root CA G1; O=Certplus; C=FR","22FDD0B7FDA24E0DAC492CA0ACA67B6A1FE3F766","152A402BFCDF2CD548054D2275B39C7FCA3EC0978078B0F0EA76E561A6C7433E","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","2014 May 26","2038 Jan 15","RSA 4096 bits","SHA512WithRSA"
"Disabled","DocuSign (OpenTrust/Keynectis)","Certplus Root CA G2","CN=Certplus Root CA G2; O=Certplus; C=FR","4F658E1FE906D82802E9544741C954255D69CC1A","6CC05041E6445E74696C4CFBC9F80F543B7EABBB44B4CE6F787C6A9971C42F17","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","2014 May 26","2038 Jan 15","EC secp384r1","ecdsaWithSHA384"
"Disabled","DocuSign (OpenTrust/Keynectis)","KEYNECTIS ROOT CA","CN=KEYNECTIS ROOT CA; OU=ROOT; O=KEYNECTIS; C=FR","9C615C4D4D85103A5326C24DBAEAE4A2D2D5CC97","4210F199499A9AC33C8DE02BA6DBAA14408BDD8A6E324689C1922D069715A332","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2009 May 26","2020 May 26","RSA 2048 bits","SHA256WithRSA"
"Disabled","DocuSign (OpenTrust/Keynectis)","OpenTrust Root CA G2","CN=OpenTrust Root CA G2; O=OpenTrust; C=FR","795F8860C5AB7C3D92E6CBF48DE145CD11EF600B","27995829FE6A7515C1BFE848F9C4761DB16C225929257BF40D0894F29EA8BAF2","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","2014 May 26","2038 Jan 15","RSA 4096 bits","SHA512WithRSA"
"Disabled","DocuSign (OpenTrust/Keynectis)","OpenTrust Root CA G3","CN=OpenTrust Root CA G3; O=OpenTrust; C=FR","6E2664F356BF3455BFD1933F7C01DED813DA8AA6","B7C36231706E81078C367CB896198F1E3208DD926949DD8F5709A410F75B6292","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","2014 May 26","2038 Jan 15","EC secp384r1","ecdsaWithSHA384"
"Included","e-commerce monitoring GmbH","GLOBALTRUST","CN=GLOBALTRUST; OU=GLOBALTRUST Certification Service; O=ARGE DATEN - Austrian Society for Data Protection; L=Vienna; ST=Austria; C=AT; EmailAddress=info@globaltrust.info","342CD9D3062DA48C346965297F081EBC2EF68FDC","5E3571F33F45A7DF1537A68B5FFB9E036AF9D2F5BC4C9717130DC43D7175AAC7","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;IP Security IKE Intermediate;IP Security Tunnel Termination;IP Security User;OCSP Signing;Secure Email;Time Stamping","2006 Aug 07","2036 Sep 18","RSA 4096 bits","SHA1WithRSA"
"Included","e-commerce monitoring GmbH","GLOBALTRUST 2015","CN=GLOBALTRUST 2015; OU=GLOBALTRUST Certification Service; O=e-commerce monitoring GmbH; L=Wien; ST=Wien; C=AT","465B26BEBE7106DD8544C1139D9FA25700C1D7BD","416B1F9E84E74C1D19B23D8D7191C6AD81246E641601F599132729F507BEB3CC","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","2015 Jun 11","2040 Jun 10","RSA 4096 bits","SHA256WithRSA"
"Included","e-commerce monitoring GmbH","GLOBALTRUST 2020","CN=GLOBALTRUST 2020; O=e-commerce monitoring GmbH; C=AT","D067C11351010CAAD0C76A65373116264F5371A2","9A296A5182D1D451A2E37F439B74DAAFA267523329F90F9A0D2007C334E23C9A","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","2020 Feb 10","2040 Jun 10","RSA 4096 bits","SHA256WithRSA"
"Disabled","e-Guven Elektronik Bilgi Guvenligi A.S.","e-Guven Kok Elektronik Sertifika Hizmet Saglayicisi","CN=e-Guven Kok Elektronik Sertifika Hizmet Saglayicisi; O=Elektronik Bilgi Guvenligi A.S.; C=TR","DDE1D2A901802E1D875E84B3807E4BB1FD994134","E609078465A419780CB6AC4C1C0BFB4653D9D9CC6EB3946EB7F3D69997BAD598","Server Authentication;Client Authentication;Code Signing;OCSP Signing;Secure Email;Time Stamping","2007 Jan 04","2017 Jan 04","RSA 2048 bits","SHA1WithRSA"
"Disabled","E-Tugra","E-Tugra Certification Authority","CN=E-Tugra Certification Authority; OU=E-Tugra Sertifikasyon Merkezi; O=E-Tuğra EBG Bilişim Teknolojileri ve Hizmetleri A.Ş.; L=Ankara; C=TR","51C6E70849066EF392D45CA00D6DA3628FC35239","B0BFD52BB0D7D9BD92BF5D4DC13DA255C02C542F378365EA893911F55E55F23C","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","2013 Mar 05","2023 Mar 03","RSA 4096 bits","SHA256WithRSA"
"Included","E-Tugra","E-Tugra Global Root CA ECC v3","CN=E-Tugra Global Root CA ECC v3; OU=E-Tugra Trust Center; O=E-Tugra EBG A.S.; L=Ankara; C=TR","8A2FAF5753B1B0E6A104EC5B6A69716DF61CE284","873F4685FA7F563625252E6D36BCD7F16FC24951F264E47E1B954F4908CDCA13","Server Authentication;Client Authentication;Code Signing","2020 Mar 18","2045 Mar 12","EC secp384r1","ecdsaWithSHA384"
"Included","E-Tugra","E-Tugra Global Root CA RSA v3","CN=E-Tugra Global Root CA RSA v3; OU=E-Tugra Trust Center; O=E-Tugra EBG A.S.; L=Ankara; C=TR","E9A85D2214521C5BAA0AB4BE246A238AC9BAE2A9","EF66B0B10A3CDB9F2E3648C76BD2AF18EAD2BFE6F117655E28C4060DA1A3F4C2","Server Authentication;Client Authentication;Code Signing","2020 Mar 18","2045 Mar 12","RSA 4096 bits","SHA256WithRSA"
"Disabled","E-Tugra","EBG Elektronik Sertifika Hizmet Sağlayıcısı","CN=EBG Elektronik Sertifika Hizmet Sağlayıcısı; O=EBG Bilişim Teknolojileri ve Hizmetleri A.Ş.; C=TR","8C96BAEBDD2B070748EE303266A0F3986E7CAE58","35AE5BDDD8F7AE635CFFBA5682A8F00B95F48462C7108EE9A0E5292B074AAFB2","Server Authentication;Client Authentication;Code Signing;Secure Email","2006 Aug 17","2016 Aug 14","RSA 4096 bits","SHA1WithRSA"
"Included","Echoworx","Echoworx Root CA2","CN=Echoworx Root CA2; OU=Certification Services; O=Echoworx Corporation; L=Toronto; ST=Ontario; C=CA","CB658264EA8CDA186E1752FB52C397367EA387BE","6639D13CAB85DF1AD9A23C443B3A60901E2B138D456FA71183578108884EC6BF","Client Authentication;Document Signing;Secure Email","2005 Oct 06","2030 Oct 07","RSA 2048 bits","SHA1WithRSA"
"Included","EDICOM","CAEDICOM Root","CN=CAEDICOM Root; O=EDICOM; C=ES","559BBA7B0FFE80D6D3829B1FD07AA4D322194790","1501F89C5C4DCF36CF588A17C9FD7CFCEB9EE01E8729BE355E25DE80EB6284B4","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","2014 May 21","2034 May 21","RSA 4096 bits","SHA256WithRSA"
"Disabled","EDICOM","ACEDICOM Root","CN=ACEDICOM Root; OU=PKI; O=EDICOM; C=ES","E0B4322EB2F6A568B654538448184A5036874384","03950FB49A531F3E1991942398DFA9E0EA32D7BA1CDD9BC85DB57ED9400B434A","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","2008 Apr 18","2028 Apr 13","RSA 4096 bits","SHA1WithRSA"
"Included","eMudhra Technologies Limited","emSign ECC Root CA - C3","CN=emSign ECC Root CA - C3; OU=emSign PKI; O=eMudhra Inc; C=US","B6AF43C29B81537DF6EF6BC31F1F60150CEE4866","BC4D809B15189D78DB3E1D8CF4F9726A795DA1643CA5F1358E1DDB0EDC0D7EB3","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","2018 Feb 18","2043 Feb 18","EC secp384r1","ecdsaWithSHA384"
"Included","eMudhra Technologies Limited","emSign ECC Root CA - G3","CN=emSign ECC Root CA - G3; OU=emSign PKI; O=eMudhra Technologies Limited; C=IN","3043FA4FF257DCA0C380EE2E58EA78B23FE6BBC1","86A1ECBA089C4A8D3BBE2734C612BA341D813E043CF9E8A862CD5C57A36BBE6B","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","2018 Feb 18","2043 Feb 18","EC secp384r1","ecdsaWithSHA384"
"Included","eMudhra Technologies Limited","emSign Root CA - C1","CN=emSign Root CA - C1; OU=emSign PKI; O=eMudhra Inc; C=US","E72EF1DFFCB20928CF5DD4D56737B151CB864F01","125609AA301DA0A249B97A8239CB6A34216F44DCAC9F3954B14292F2E8C8608F","Server Authentication;Client Authentication;Document Signing;Secure Email","2018 Feb 18","2043 Feb 18","RSA 2048 bits","SHA256WithRSA"
"Included","eMudhra Technologies Limited","emSign Root CA - C2","CN=emSign Root CA - C2; OU=emSign PKI; O=eMudhra Inc; C=US","BCA2188074C3147E16F4C48C5910A89EF752F479","46CD083B47E80402028DF493960EA19C85FE851950D5165F1C7DA4FAA951E2F8","Code Signing;Time Stamping","2018 Feb 18","2043 Feb 18","RSA 4096 bits","SHA384WithRSA"
"Included","eMudhra Technologies Limited","emSign Root CA - G1","CN=emSign Root CA - G1; OU=emSign PKI; O=eMudhra Technologies Limited; C=IN","8AC7AD8F73AC4EC1B5754DA540F4FCCF7CB58E8C","40F6AF0346A99AA1CD1D555A4E9CCE62C7F9634603EE406615833DC8C8D00367","Server Authentication;Client Authentication;Document Signing;Secure Email","2018 Feb 18","2043 Feb 18","RSA 2048 bits","SHA256WithRSA"
